 run_20031	2019 06 30 08 42 00	2019 06 30 09 12 13
 run_20032	2019 06 30 09 13 40	2019 06 30 09 43 52
 run_20033	2019 06 30 09 44 40	2019 06 30 09 59 13
 run_20034	2019 06 30 11 57 08	2019 06 30 12 12 11
 run_20035	2019 06 30 12 47 56	2019 06 30 13 02 59
 run_20036	2019 06 30 13 39 35	2019 06 30 13 54 38
 run_20037	2019 06 30 14 13 38	2019 06 30 14 28 45
 run_20038	2019 06 30 14 30 52	2019 06 30 14 46 00
 run_20039	2019 06 30 15 21 27	2019 06 30 15 51 39
 run_20040	2019 06 30 16 31 55	2019 06 30 17 02 07
 run_20042	2019 06 30 17 48 37	2019 06 30 18 18 49
 run_20043	2019 06 30 19 57 26	2019 06 30 20 02 31
 run_20044	2019 06 30 20 05 40	2019 06 30 21 05 59
 run_20047	2019 07 01 10 57 28	2019 07 01 11 27 40
 run_20048	2019 07 01 11 48 07	2019 07 01 12 18 18
 run_20049	2019 07 01 12 51 28	2019 07 01 13 21 39
 run_20050	2019 07 01 13 23 53	2019 07 01 13 54 06
 run_20051	2019 07 01 13 55 28	2019 07 01 14 25 40
 run_20052	2019 07 01 14 26 58	2019 07 01 14 59 22
 run_20053	2019 07 01 15 00 46	2019 07 01 15 31 00
 run_20054	2019 07 01 15 32 09	2019 07 01 15 32 30
 run_20055	2019 07 01 16 44 30	2019 07 01 16 47 55
 run_20056	2019 07 01 16 54 07	2019 07 01 16 58 07
 run_20069	2019 07 01 22 52 25	2019 07 01 22 57 30
 run_20071	2019 07 01 23 35 52	2019 07 01 23 48 27
 run_20072	2019 07 01 23 53 50	2019 07 01 23 54 30
 run_30002	2019 07 02 11 18 29	2019 07 02 11 48 40
 run_30003	2019 07 02 12 04 58	2019 07 02 12 35 09
 run_30004	2019 07 02 12 36 24	2019 07 02 13 06 38
 run_30005	2019 07 02 13 07 49	2019 07 02 13 38 01
 run_30006	2019 07 02 13 40 14	2019 07 02 14 10 25
 run_30007	2019 07 02 14 45 53	2019 07 02 15 16 05
 run_30008	2019 07 02 15 17 35	2019 07 02 15 17 43
 run_30009	2019 07 02 16 59 02	2019 07 02 17 29 14
 run_30010	2019 07 02 17 53 53	2019 07 02 18 24 05
 run_30011	2019 07 03 14 27 24	2019 07 03 14 32 28
 run_30012	2019 07 03 14 42 23	2019 07 03 14 47 28
 run_30013	2019 07 03 15 46 45	2019 07 03 15 47 48
 run_30014	2019 07 05 15 58 09	2019 07 05 16 28 21
 run_30016	2019 07 05 16 58 42	2019 07 05 17 02 37
 run_32001	2019 07 02 16 27 35	2019 07 02 16 30 37
 run_32002	2019 07 02 18 33 28	2019 07 02 23 10 53
 run_32003	2019 07 02 23 26 47	2019 07 02 23 28 16
 run_32004	2019 07 02 23 35 04	2019 07 03 00 35 25
 run_32005	2019 07 03 00 38 19	2019 07 03 01 38 39
 run_32006	2019 07 03 01 41 28	2019 07 03 02 41 48
 run_32007	2019 07 03 02 44 35	2019 07 03 03 44 56
 run_32008	2019 07 03 03 47 50	2019 07 03 04 48 10
 run_32009	2019 07 03 04 50 56	2019 07 03 05 51 16
 run_32010	2019 07 03 05 54 05	2019 07 03 06 54 25
 run_32011	2019 07 03 06 57 11	2019 07 03 07 57 31
 run_32012	2019 07 03 07 59 17	2019 07 03 08 59 38
 run_32013	2019 07 03 08 59 54	2019 07 03 09 05 29
 run_32014	2019 07 05 18 30 50	2019 07 05 18 47 57
 run_32015	2019 07 05 18 54 13	2019 07 05 19 44 28
 run_32016	2019 07 05 19 50 43	2019 07 05 20 51 04
 run_32017	2019 07 05 21 00 46	2019 07 05 22 06 07
 run_32018	2019 07 05 22 13 48	2019 07 05 23 14 09
 run_40012	2019 07 04 20 39 41	2019 07 04 21 09 53
 run_42001	2019 07 03 16 10 09	2019 07 03 16 10 27
 run_42002	2019 07 03 16 18 45	2019 07 03 16 48 57
 run_42003	2019 07 03 17 03 39	2019 07 03 17 33 51
